1,1,3,1,4,0,1,0,3,1,1,3,2,1,0,0,1,1,1,2,1,2,2,1,1,1,1,1,0,2,1,1,3,0,1,2,2,2,1,1,1,2,0,1,0,1,1,2,1,2,2,3,2,1,2,1,0,0,1,3,1,1,3,0,3,1,2,1,1,2,3,0,1,2,1,1,3,2,2,2,0,4,1,1,1,1,3,2,2,2,1,2,1,2,0,2,1,2,2,0
3,2,7,4,6,1,2,3,3,4,3,3,2,2,3,1,1,3,3,6,5,5,4,4,3,1,1,3,2,2,4,1,6,0,1,3,2,3,1,3,2,2,0,1,1,3,2,5,2,3,2,7,3,6,4,3,2,2,3,4,4,4,3,2,3,2,4,1,2,5,7,2,3,4,4,2,5,3,2,2,2,5,2,2,1,3,5,2,2,2,4,4,2,5,1,4,3,4,3,2
5,4,9,7,6,1,5,5,5,5,6,4,4,4,3,3,5,5,4,6,6,5,6,4,5,1,3,4,3,4,6,4,10,1,3,4,5,6,3,3,3,3,3,1,2,4,4,5,3,3,3,8,6,7,4,4,5,5,6,6,4,6,4,3,7,3,5,5,2,5,7,3,3,7,7,2,6,5,3,5,3,9,4,2,1,6,7,5,3,4,8,6,4,9,2,8,5,5,4,4
6,8,9,8,7,2,7,7,7,5,8,6,4,6,4,4,5,6,6,7,8,5,9,6,5,2,4,7,3,5,7,5,12,2,6,4,7,8,3,6,3,4,6,2,6,7,5,7,4,7,4,9,8,8,5,4,6,6,8,8,4,10,6,6,10,6,6,5,4,6,10,3,5,10,7,3,7,6,4,6,5,10,5,4,2,9,8,6,4,5,8,7,4,11,5,8,5,8,6,5
8,10,10,8,9,4,7,8,9,8,9,6,6,7,4,5,6,6,9,7,9,7,10,9,6,4,4,8,4,8,8,9,12,2,8,8,8,8,3,8,3,6,6,3,8,8,6,9,6,8,6,13,10,10,7,7,7,8,9,8,6,11,10,9,11,7,7,5,5,8,10,5,5,13,10,4,7,7,5,11,6,11,6,5,4,11,9,8,5,8,11,11,6,11,7,9,8,11,7,7
10,13,10,10,10,5,10,11,12,12,9,8,8,9,8,8,6,6,9,11,9,7,11,11,6,6,5,9,6,11,9,11,12,2,8,9,9,8,6,8,5,7,9,6,9,8,6,11,6,12,7,16,10,11,8,10,9,8,9,11,6,11,13,9,11,8,9,6,7,9,11,10,8,13,12,5,11,8,7,13,6,12,9,9,7,14,11,8,5,9,12,12,8,13,10,13,9,13,8,8
11,14,11,11,13,8,13,13,13,13,10,8,11,12,10,9,8,7,11,12,12,10,11,11,9,7,8,12,9,13,11,12,12,2,9,9,10,9,6,8,7,7,12,8,11,10,7,12,9,13,9,17,10,12,9,11,13,10,10,13,7,12,15,11,12,9,11,9,10,11,12,12,10,14,13,9,15,10,11,16,7,15,9,10,7,16,12,10,5,9,13,15,10,15,12,14,11,14,12,10
13,15,11,13,14,9,13,14,13,15,12,13,14,13,11,10,10,7,13,12,13,11,13,13,12,9,11,14,12,14,11,12,13,3,10,10,13,11,9,11,8,7,14,11,12,13,9,14,10,14,9,19,10,13,11,12,13,12,11,13,8,12,17,13,12,12,14,12,12,13,14,14,12,18,14,9,17,10,12,17,9,17,10,13,7,17,13,10,6,12,14,16,12,17,12,16,12,16,13,14
16,19,11,15,17,12,16,14,14,16,14,13,15,16,13,14,11,8,14,12,14,13,15,17,14,9,14,15,12,15,13,14,13,4,10,12,15,14,9,14,9,10,14,13,14,15,10,16,11,15,10,20,12,13,12,14,15,16,12,16,9,15,17,13,12,12,17,12,12,17,15,14,14,18,16,12,18,12,12,18,10,18,10,14,8,17,14,10,6,16,16,17,13,18,15,17,15,17,14,16
18,19,12,15,18,14,18,16,14,18,17,15,15,17,14,19,13,10,15,13,15,13,18,19,16,11,14,18,12,17,13,14,15,5,11,14,16,16,11,14,9,10,14,14,15,17,12,18,13,17,14,21,14,16,13,16,17,19,15,16,10,17,18,16,12,16,18,12,14,19,18,18,15,20,18,12,21,15,14,19,12,19,11,16,10,17,14,12,8,18,17,19,13,19,16,18,15,17,14,17
